file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0164_0340_2266459_to_2268933,གཟུགས་པོ་ཀྱོག་སེ་ཀྱོག་སེ་ཀྱོག་སེ་ཀྱོག་སེ་བྱས་འགྲོ་མྱི་དེ་ཚོ།  ,gzugs po kyog se kyog se kyog se kyog se byas 'gro myi de tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0164_0340_2266459_to_2268933.wav,STT_PC,3,62,2.474,wav16k/STT_PC0164_0340_2266459_to_2268933.wav,གཟུགས་པོ་སྐྱོ་སེ་ སྐྱོག་སེ།ྐྱོག་སེ་ྐྱོ་སེ་བྱས་འགྲོ་མྱི་དེ་ཚོ།
STT_MV0139_0251_1833765_to_1841119,ཧྲག་པོ་དགོས་རེད། བྱས་ཙང་། ལམ་སང་མི་ཤར་བསྐྱོད་བྱས་ནས་སང་ཉིན་ཞོགས་ཀའི་ནམ་མ་ལངས་གོང་ཉེན་སོ་རྫོང་ལ་བསླེབས་པ་གྱིས་དགོས་རེད།  ,hrag po dgos red/_byas tsang /_lam sang mi shar bskyod byas nas sang nyin zhogs ka'i nam ma langs gong nyen so rdzong la bslebs pa gyis dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0139_0251_1833765_to_1841119.wav,STT_MV,3,120,7.354,wav16k/STT_MV0139_0251_1833765_to_1841119.wav,ཧྲགས་པ་དགོས་རེད། བྱས་ཙང་ལམ་སང་མི་ཧྲག་དཀྲུག་བྱས་ནས་སང་ཉིན་ཞོགས་ཀས་ནམ་མ་ལངས་གོང་ཉི་རྩེ་དོང་ན་སླེབས་པར་བྱེད་དགོས་རེད།
STT_NS_M0001_0175_1330450_to_1335360,སྤྱི་ཚོགས་ནང་ཡ་ཡ་དེ་ལྟ་ཡ་ཡོད་མ་རེད་འདི་ཚོར་མི་སྤྱི་ཚོགས་དཀྱིལ་ལབ་མཁན་ཅིག་ལབ་བསྡད་ཡོད་རེད། རེད་མ་རེད།  ,spyi tshogs nang ya ya de lta ya yod ma red 'di tshor mi spyi tshogs dkyil lab mkhan cig lab bsdad yod red/_red ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0001_0175_1330450_to_1335360.wav,STT_NS,3,102,4.91,wav16k/STT_NS_M0001_0175_1330450_to_1335360.wav,ཡ་ཡ་ལྟ་ཡ་ཡོད་མ་རེད་དི་ཚོ་སྤྱི་ཚོགས་ལབ་མཁན་ཅིག་ལབ་བསྡད་ཡོད་རེད་རེད་མ་རེད།
STT_MV0713_0194_1807991_to_1816518,ལས་ཀ་ཏོག་ཙི་འདུག ང་འགྲོ་དགོས་ཁེལ་སོང་། རྗེས་མ་མཇལ་ཡོང་། ལེགས་སེ།  ,las ka tog tsi 'dug_nga 'gro dgos khel song /_rjes ma mjal yong /_legs se/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0713_0194_1807991_to_1816518.wav,STT_MV,3,66,8.527,wav16k/STT_MV0713_0194_1807991_to_1816518.wav,ལས་ཀ་ཏོག་ཙི་འདུག ང་འགྲོ་དགོས་ཁེལ་སོང་། ཨ། རྗེས་མ་མཇལ། ལག་སོ།
STT_MV0077_0006_52533_to_61541,ཁྱེད་རང་གསུངས་ད་ངས་ཁས་ལེན་ན་ཡོང་གི་རེད་པེ། ཕོ་རྒོད་སྒྲན་ལགས་ངས་ཁར་ཐུག་ཞུས་ཆོག་པ་བྱས། སྐུ་ངོ་པའོ་ལགས་དཔོན་པོ་གཞན་དག་དང་འདྲ་གི་མི་འདུག ,khyed rang gsungs da ngas khas len na yong gi red pe/_pho rgod sgran lags ngas khar thug zhus chog pa byas/_sku ngo pa'o lags dpon po gzhan dag dang 'dra gi mi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0077_0006_52533_to_61541.wav,STT_MV,3,133,9.008,wav16k/STT_MV0077_0006_52533_to_61541.wav,ཁྱེད་རང་གསུངས་ད། ངས་ཁས་ལེན་ན་ཡོང་གི་རེད་པེ། ཕོ་རྒོད་སྒྲན་ལགས་ངས་ཁ་ཐུག་ཞུས་ཆོག་པ་གྱིས། སྐུ་ངོ་པའོ་ལགས་དཔོན་པོ་གཞན་ད་དང་འདྲ་གི་མི་འདུག
STT_MV0469_0172_1532867_to_1536261,ཁྱེད་རང་གིས་ཐལ་དྲགས་པ་རེད། ད་ག་རེད། ངས་ཐལ་དྲགས་སོང་།  ,khyed rang gis thal drags pa red/_da ga red/_ngas thal drags song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0469_0172_1532867_to_1536261.wav,STT_MV,3,54,3.394,wav16k/STT_MV0469_0172_1532867_to_1536261.wav,ཁྱེད་རང་གིས་ཐལ་དྲགས་པ་རེད། ད་ག་རེད། ངས་ཐལ་དྲགས་སོང་།
STT_MV0469_0173_1536261_to_1539251,ཡིན་ནས་ཁོང་གིས་བུད་མེད་ཅིག་ལ།  ,yin nas khong gis bud med cig la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0469_0173_1536261_to_1539251.wav,STT_MV,3,31,2.99,wav16k/STT_MV0469_0173_1536261_to_1539251.wav,ཡིན་ནས་ཁོང་གིས་བུད་མེད་གཅིག་ལ།
STT_MV0139_0275_2031972_to_2036452,གནས་ཚུལ་འོ་འདུག་སེ་རེད། རང་གཉིད་ཏོག་ཙི་ཉལ་བྱས་ ,gnas tshul 'o 'dug se red/_rang gnyid tog tsi nyal byas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0139_0275_2031972_to_2036452.wav,STT_MV,3,47,4.48,wav16k/STT_MV0139_0275_2031972_to_2036452.wav,གནས་ཚུལ་འོ་འདུག་སེ་རེད། རང་གཉིད་ཏོག་ཙི་ཉལ་བྱས།
STT_MV0713_0195_1818897_to_1823988,དྲན་པ་འཐོར་ཡ་ག་རེ་བྱས་པ་རེད།  ,dran pa 'thor ya ga re byas pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0713_0195_1818897_to_1823988.wav,STT_MV,3,30,5.091,wav16k/STT_MV0713_0195_1818897_to_1823988.wav,དྲན་པ་འཐོར་ཡ་ག་རེ་བྱས་པ་རེད།
STT_MV0077_0076_545001_to_554290,ཁ་མང་དྲགས་སོང་། བགེགས་སྐྱོབ་བྱས་པ་ཐག་མའི་སྐབས་ལ་སྤྱི་ཁྱབ་ནས་འབྲུ་རིགས་མང་པོ་ཁེར་ཡོད་ས་རེད། ཡིན་ནས་རྒྱུན་རིང་སྤྲད་ཙང་ཏན་ཏན་འདང་གི་མ་རེད་པ།  ,kha mang drags song /_bgegs skyob byas pa thag ma'i skabs la spyi khyab nas 'bru rigs mang po kher yod sa red/_yin nas rgyun ring sprad tsang tan tan 'dang gi ma red pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0077_0076_545001_to_554290.wav,STT_MV,3,139,9.289,wav16k/STT_MV0077_0076_545001_to_554290.wav,ཁ་མང་དྲགས་སོང་། བགེགས་སྐྱོབ་བྱས་ཐར་པའི་སྐབས་ལ་སྤྱི་ཁྱབ་ནས་འབྲུ་རིགས་མང་པོ་ཁེར་ཡོད་ས་རེད། ཡིན་ནས་རྒྱུན་རིང་སྤྲད་ཙང་ཏན་ཏན་འདང་གི་མ་རེད་པ།
